Names;Mesure0;Mesure1;Mesure2;Mesure3;Mesure4;Mesure5;Mesure6;Mesure7;Mesure8;Mesure9
LYCEE GERVILLE REACHE;2012;78;96;116;84;405;72;86;85;382
LYCEE ILES DU NORD (GENERAL ET TECHNO.);2012;28;54;37;61;180;89;81;81;222
LYCEE BAIMBRIDGE;2012;53;67;147;161;428;83;85;82;389
LYCEE MAHATMA GANDHI;2012;55;27;50;89;221;71;78;88;199
LYCEE HENRI DARRAS;2012;53;69;104;67;361;74;88;84;325
LYCEE AUGUSTE BEHAL;2012;18;14;46;23;218;89;93;70;180
LYCEE VOLTAIRE;2012;48;52;129;64;293;85;81;78;313
LYCEE SAINT-EXUPERY (GENERAL ET TECHNO.);2012;9;26;53;23;139;67;92;91;137
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2012;25;41;73;48;221;76;93;93;254
LYCEE PAUL PAINLEVE (GENERAL ET TECHNO.);2012;27;33;24;36;142;93;91;75;129
LYCEE FRANCOIS MAURIAC-FOREZ;2012;23;99;144;79;379;96;95;97;374
LYCEE MARTIN LUTHER KING;2013;34;79;131;57;355;91;94;95;373
LYCEE EMILY BRONTE;2013;22;54;77;53;244;100;98;99;255
LYCEE DE BALAGNE (GENERAL ET TECHNO.);2013;13;24;41;30;108;92;88;85;126
LYCEE GALILEE;2013;31;36;42;34;143;97;94;98;213
LYCEE PASCAL PAOLI;2013;12;24;24;17;77;100;100;100;82
LYCEE JEAN ROSTAND (GENERAL ET TECHNO.);2013;26;71;60;81;289;88;87;87;288
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2013;26;42;61;52;181;85;90;80;169
LYCEE AUGUSTE BLANQUI (GENERAL ET TECHNO.);2013;34;59;63;70;226;59;81;75;197
LYCEE OLYMPE DE GOUGES;2013;34;45;51;56;186;88;89;94;196
LYCEE ND D'ESPERANCE;2012;12;74;91;40;217;100;100;99;185
LYCEE ALBERT CAMUS;2012;31;32;49;72;184;100;88;96;165
LYCEE PAYS DE RETZ;2012;20;63;79;51;213;90;94;96;232
LYCEE EMMANUEL MOUNIER;2012;12;23;43;34;112;67;96;100;112
LYCEE D'ESTOURNELLES DE CONSTANT (GENERAL ET TECHNO.);2012;37;57;51;81;265;89;93;98;263
LYCEE ROBERT GARNIER (GENERAL ET TECHNO.);2012;29;43;91;72;275;90;93;91;248
LYCEE NOTRE DAME (GENERAL ET TECHNO.);2012;45;30;88;46;262;96;100;99;359
LYCEE PAUL SCARRON;2012;9;19;24;15;67;89;95;100;109
LYCEE NOTRE DAME;2012;14;12;31;11;169;100;100;100;153
LYCEE BRISTOL;2012;65;68;70;100;338;89;84;70;304
LYCEE AUGUSTE RENOIR;2012;51;149;168;95;463;94;87;93;504
LYCEE AMIRAL DE GRASSE;2012;32;69;110;59;270;94;84;88;286
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2012;21;34;40;21;116;95;97;95;118
LYCEE BEAUSSIER;2012;67;114;151;127;459;81;92;89;458
LYCEE TERTIAIRE ET  SOCIAL G.LEYGUES (GENERAL ET TECHNO.);2013;24;63;71;61;219;100;97;96;239
LYCEE SAINT-JOHN PERSE;2013;21;96;114;70;301;90;97;96;292
LYCEE GASTON FEBUS;2013;36;34;69;40;179;97;94;99;179
LYCEE PAUL REY;2013;16;47;52;14;129;100;98;98;136
LYCEE NAPOLEON;2013;17;34;56;33;186;100;100;98;199
LYCEE MARGUERITE DE NAVARRE;2013;60;52;62;65;276;88;94;98;239
LYCEE URUGUAY FRANCE;2013;21;45;68;55;307;76;84;93;313
LYCEE AMBROISE BRUGIERE;2013;34;79;87;74;274;91;85;83;244
LYCEE SAINT ALYRE;2013;17;70;57;47;191;100;99;98;166
LYCEE C. ET P. VIRLOGEUX;2013;58;104;141;67;370;84;90;95;379
LYCEE MURAT;2013;34;63;102;49;248;94;94;94;293
LYCEE FRANCOISE CABRINI;2013;19;38;58;53;218;100;100;100;222
LYCEE EVARISTE GALOIS (GENERAL ET TECHNO.);2013;35;68;82;57;274;94;94;90;266
LYCEE GUSTAVE EIFFEL;2013;45;69;83;29;328;82;84;78;302
LYCEE ALFRED NOBEL (GENERAL ET TECHNO.);2013;19;30;49;76;174;68;73;76;147
LYCEE JEAN MOULIN;2013;16;33;49;44;142;94;76;86;118
LYCEE NOTRE DAME;2012;28;36;77;24;165;93;100;97;180
LYCEE LE CORBUSIER;2012;53;79;93;56;281;79;91;91;279
LYCEE SAINT JEAN;2013;10;31;36;42;178;100;94;97;184
LYCEE LE GRAND CHENOIS;2013;29;67;69;76;301;97;96;83;256
LYCEE XAVIER MARMIER (GENERAL ET TECHNO.);2013;49;87;144;48;328;100;93;93;304
LYCEE DU VAL DE SAONE;2012;26;74;142;51;331;92;95;96;328
LYCEE PAUL ELUARD (GENERAL ET TECHNO.);2012;16;27;36;22;101;94;100;97;152
LYCEE SAINT PIERRE;2012;13;52;49;29;143;92;87;98;188
LYCEE ALBERT THOMAS;2012;17;25;29;86;221;100;96;93;235
LYCEE AMPERE;2012;77;103;157;67;404;95;93;93;399
LYCEE GEORGES CLEMENCEAU;2012;35;128;163;62;399;83;90;86;398
LYCEE ET SPORTIF PIERRE DE COUBERTIN;2012;16;22;39;25;102;94;100;97;103
LYCEE RENE GOSSE;2012;31;53;57;45;186;87;92;88;191
LYCEE LA TRINITE;2012;6;40;62;27;135;83;95;95;158
LYCEE JOFFRE;2012;72;98;267;61;498;97;97;98;531
LYCEE CHARLES GIDE;2012;50;63;109;31;253;94;98;91;285
LYCEE LA HERDRIE;2012;24;70;135;58;287;96;97;97;339
LYCEE ROBERT SCHUMAN;2012;33;50;98;143;324;88;80;71;286
NOTRE DAME DE BON SECOURS;2012;55;84;119;61;399;87;95;97;423
LYCEE JEAN-AUGUSTE MARGUERITTE (GENERAL ET TECHNO.);2012;30;89;151;92;461;97;81;95;394
LYCEE JEAN ZAY (GENERAL ET TECHNO.);2012;11;29;40;49;153;91;100;100;175
LYCEE CHARLES HERMITE (GENERAL ET TECHNO.);2012;18;46;63;40;191;83;89;86;152
LYCEE HENRI VOGT (GENERAL ET TECHNO.);2012;27;42;59;35;182;89;93;92;167
LYCEE FELIX MAYER (GENERAL ET TECHNO.);2012;29;53;95;44;221;76;98;85;210
LYCEE DES RECOLLETS;2012;8;10;24;30;72;63;100;75;75
LYCEE JEANNE D'ARC;2012;45;103;81;48;277;76;90;94;280
LYCEE SAINT JOSEPH-LA PROVIDENCE;2012;16;11;21;30;78;94;91;95;56
LYCEE AMEP (GENERAL ET TECHNO.);2012;22;33;26;89;193;73;85;92;86
LYCEE DE L'UNION;2012;12;23;12;16;63;50;65;83;44
LYCEE ALPHONSE DAUDET;2012;77;93;218;46;434;97;94;93;469
LYCEE BELLEVUE;2012;34;26;61;19;140;100;100;100;175
LYCEE DE SADA (GENERAL ET TECHNO.);2012;62;132;90;205;489;84;73;62;292
LYCEE AUGUSTE ET LOUIS LUMIERE;2012;68;46;44;57;276;76;65;84;260
LYCEE JACQUES BREL;2012;8;22;10;31;90;88;68;50;138
LYCEE SAINTE MARIE LYON;2012;43;100;185;62;390;95;99;100;456
LYCEE EDOUARD HERRIOT;2012;23;114;121;32;290;91;94;97;285
LYCEE RENE CASSIN;2012;26;27;47;49;149;92;100;100;154
LYCEE CENS;2012;2;14;14;8;38;100;100;100;35
LYCEE CAMILLE CLAUDEL;2012;26;71;67;49;213;100;89;93;245
LYCEE GABRIEL DESHAYES;2012;12;30;25;19;86;100;97;100;60
LYCEE JEAN BODIN;2012;28;62;67;26;183;93;95;96;237
LYCEE SACRE COEUR;2012;28;79;121;100;328;100;99;94;337
LYCEE PERSEIGNE (GENERAL ET TECHNO.);2012;14;15;23;18;70;93;100;96;63
LYCEE AMBROISE PARE;2012;54;70;111;55;290;93;91;95;315
LYCEE LEONARD DE VINCI;2012;17;67;110;53;308;94;81;92;299
LYCEE ROTROU;2012;59;101;115;96;412;66;80;71;406
LYCEE NOTRE DAME;2012;17;63;75;28;194;88;92;97;224
LYCEE GEORGE SAND (GENERAL ET TECHNO.);2012;15;20;35;19;89;73;90;94;95
LYCEE COLBERT DE TORCY - CH. CROS;2012;23;41;61;33;211;91;93;82;221
LYCEE STE MARIE DU PORT (GENERAL ET TECHNO.);2012;13;53;74;24;226;85;89;97;292
LYCEE FRANCOIS RABELAIS (GENERAL ET TECHNO.);2012;31;38;43;31;156;97;97;95;168
LYCEE ND DU ROC;2012;25;60;74;88;271;100;97;99;308
LYCEE JEANNE D'ARC;2012;7;28;40;24;115;100;100;95;114
LYCEE PIERRE MENDES-FRANCE;2012;66;42;76;74;258;83;95;93;276
LYCEE SAVARY DE MAULEON;2012;38;44;78;56;216;82;89;87;246
LYCEE GEORGES CLEMENCEAU;2012;5;10;35;20;70;80;100;94;97
LYCEE ND DE LA TOURTELIERE;2012;7;26;48;27;108;100;100;98;127
LYCEE ALEXIS DE TOCQUEVILLE;2012;33;66;100;27;275;85;92;85;267
LYCEE RAYNOUARD (GENERAL ET TECHNO.);2012;51;55;100;96;347;86;82;77;364
LYCEE ERNEST PEROCHON;2013;34;65;87;52;260;97;100;94;257
LYCEE ALIENOR D AQUITAINE;2013;30;51;70;66;329;97;94;84;305
LYCEE SAINT PAUL (GENERAL ET TECHNO.);2013;12;16;26;22;76;92;94;92;94
LYCEE F. ET I. JOLIOT CURIE;2013;28;65;95;63;285;89;92;87;320
LYCEE IMMACULEE CONCEPTION;2013;13;22;59;21;145;100;100;97;120
LYCEE FULGENCE BIENVENUE (GENERAL ET TECHNO.);2013;6;19;40;23;101;100;100;90;109
LYCEE RENE LAENNEC;2013;6;21;55;40;122;100;100;93;142
LYCEE STE THERESE;2013;13;48;46;30;137;100;94;100;168
LYCEE DE KERNEUZEC;2013;23;65;79;42;244;91;95;99;259
LYCEE JEAN BRITO;2013;32;67;65;53;217;94;99;97;262
LYCEE FRANCOIS RENE DE CHATEAUBRIAND;2013;23;52;63;23;161;87;94;90;178
LYCEE RENE CASSIN;2013;12;76;94;43;225;100;95;97;315
LYCEE JEAN PAUL II (GENERAL ET TECHNO.);2013;7;47;74;18;146;100;98;100;195
LYCEE JACQUES CARTIER (GENERAL ET TECHNO.);2013;57;93;105;67;322;82;88;86;322
LYCEE BERTRAND D'ARGENTRE;2013;43;82;107;74;306;91;99;98;406
LYCEE BROCELIANDE (GENERAL ET TECHNO.);2013;20;54;45;39;158;95;89;96;144
LYCEE DUPUY DE LOME;2013;66;114;184;107;471;89;95;98;509
LYCEE ST LOUIS;2013;28;62;90;54;338;96;84;96;295
LYCEE LA MENNAIS;2013;18;48;89;63;257;100;100;98;327
LYCEE JEANNE D'ARC-ST IVY;2013;23;37;64;60;226;100;100;98;294
LYCEE ST PAUL;2013;32;166;230;76;504;94;99;100;521
LYCEE ANDRE MALRAUX;2013;24;32;43;40;139;92;88;93;185
LYCEE JEHAN ANGO;2013;67;108;160;81;416;90;92;96;425
LYCEE ANDRE MAUROIS;2013;51;87;103;103;344;94;86;95;313
LYCEE ANGUIER (GENERAL ET TECHNO.);2013;26;39;58;35;183;88;97;90;192
LYCEE JEAN AICARD;2012;66;73;130;120;389;88;86;88;385
LYCEE CHOISEUL;2012;34;62;88;85;354;79;81;86;390
LYCEE SAINT MEDARD INST N-D LA RICHE;2012;12;32;57;39;151;100;97;96;159
LYCEE EN FORET;2012;64;139;138;135;502;84;88;92;394
LYCEE SAINT ANDRE (GENERAL ET TECHNO.);2012;9;21;48;20;148;100;95;94;209
LYCEE GUY CHAUVET;2012;21;17;21;16;116;86;100;81;140
LYCEE SAINT PAUL (GENERAL ET TECHNO.);2012;8;17;12;21;58;63;76;92;79
LYCEE JEAN MACE;2012;64;102;127;53;346;92;91;91;311
LYCEE DU BOIS D'AMOUR;2012;62;79;93;59;293;92;96;90;297
LYCEE ANDRE THEURIET;2012;19;32;49;30;130;79;97;94;139
LYCEE FREDERIC OZANAM (GENERAL ET TECHNO.);2012;22;19;30;32;167;91;89;100;163
LYCEE FRANCOIS 1ER;2012;27;43;61;49;209;96;91;98;188
LYCEE MARIE DE CHAMPAGNE;2012;40;64;63;80;303;85;89;84;333
LYCEE TRISTAN CORBIERE;2012;23;28;84;43;262;91;96;95;289
LYCEE DE KERNEUZEC;2012;30;59;76;56;256;100;95;97;242
LYCEE LE LIKES;2012;30;91;134;67;387;97;100;97;411
LYCEE DE L'ELORN;2012;18;32;80;48;201;100;97;96;233
LYCEE AMIRAL RONARC'H;2012;47;61;129;78;315;87;95;98;347
LYCEE RENE LAENNEC;2012;11;32;54;46;143;100;94;89;131
LYCEE DU LEON;2012;16;43;42;23;124;94;93;79;138
LYCEE BERNARD PALISSY;2012;22;45;88;56;281;77;91;88;237
LYCEE MARGUERITE DE VALOIS;2012;65;77;97;116;414;78;94;94;388
LYCEE GUEZ DE BALZAC;2012;56;89;146;28;319;93;88;92;365
LYCEE ELIE VINET;2012;20;29;54;30;133;90;90;96;146
LYCEE HONORE DE BALZAC;2012;42;72;79;75;268;93;92;94;253
LYCEE CHARLES DE FOUCAULD;2012;24;21;20;40;105;100;95;100;144
LYCEE VICTOR ET HELENE BASCH;2012;32;100;133;93;358;94;93;97;417
LYCEE NOTRE DAME DU VOEU;2012;19;51;61;29;160;100;92;95;158
LYCEE VICTOR HUGO;2012;23;70;117;69;279;91;93;93;234
LYCEE LA MENNAIS;2012;21;53;96;66;261;100;98;100;303
LYCEE JACQUES PREVERT;2012;34;43;138;68;305;82;88;91;392
LYCEE ANDRE MAUROIS;2012;59;73;94;96;322;85;74;89;300
LYCEE FENELON;2012;14;28;51;18;111;100;100;100;107
LYCEE GALILEE;2012;51;135;134;35;443;90;82;96;465
LYCEE GUY DE MAUPASSANT;2012;34;85;91;85;362;88;80;88;367
LYCEE GUILLAUME LE CONQUERANT;2012;51;138;104;103;396;88;83;85;371
LYCEE JEAN PREVOST;2012;40;105;152;47;344;85;94;97;418
LYCEE LES BRUYERES;2012;35;96;65;96;292;80;72;77;222
LYCEE JEAN-PAUL II;2012;14;51;48;30;143;86;94;90;147
LYCEE ROBERT SCHUMAN;2012;57;101;156;96;446;93;91;89;462
LYCEE DE LA COTE D'ALBATRE;2012;21;26;84;37;168;95;77;94;197
LYCEE DOCTEUR KOEBERLE;2012;31;105;114;80;330;94;94;97;372
LYCEE JEAN PREVOST;2013;50;113;161;61;385;84;93;97;392
LYCEE JEANNE D'ARC;2013;129;68;99;66;407;89;88;83;360
LYCEE LES BRUYERES;2013;44;67;40;82;233;93;87;85;273
LYCEE ALFRED KASTLER;2013;36;79;88;77;280;100;96;99;261
LYCEE ALBERT SCHWEITZER;2013;57;58;101;95;311;93;83;89;328
LYCEE GABRIEL FAURE;2013;48;88;105;60;301;90;90;90;237
LYCEE MARCELIN BERTHELOT;2013;23;42;79;70;214;96;88;94;190
LYCEE OZENNE;2013;23;101;130;67;321;96;100;98;344
LYCEE TOULOUSE-LAUTREC;2013;34;71;164;169;438;97;92;93;434
LYCEE MARIE CURIE;2013;56;59;72;80;377;96;92;88;315
LYCEE SAINT-ETIENNE;2013;11;12;25;16;64;91;92;92;71
LYCEE NOTRE-DAME;2013;15;16;14;36;81;93;100;93;112
LYCEE CLAUDE NOUGARO;2013;27;55;68;26;176;96;95;87;190
LYCEE SACRE COEUR;2013;8;44;67;32;151;100;98;100;186
LYCEE JACQUES PREVERT;2013;28;57;99;60;244;96;93;89;277
LYCEE JACQUES MONOD;2013;34;103;184;62;383;97;98;98;417
LYCEE MONTESQUIEU (GENERAL ET TECHNO.);2013;14;17;21;42;94;71;71;95;113
LYCEE TOULOUSE LAUTREC;2013;5;13;11;7;36;100;85;100;37
LYCEE CHARLES BAUDELAIRE (GENERAL ET TECHNO.);2013;23;34;60;64;181;83;79;65;107
LYCEE DE L HAUTIL (GENERAL ET TECHNO.);2013;19;32;44;56;151;89;88;77;112
LYCEE PAUL-EMILE VICTOR (GENERAL ET TECHNO.);2013;20;24;64;32;140;85;75;89;113
LYCEE LEONARD DE VINCI;2013;24;36;66;63;189;96;97;95;200
LYCEE VINCENT VAN GOGH (GENERAL ET TECHNO.);2013;36;74;81;85;276;97;93;95;255
LYCEE JULES FERRY;2013;44;86;86;97;313;95;97;93;338
LYCEE ST EXUPERY;2013;77;53;70;49;282;92;98;87;300
LYCEE DESCARTES;2013;13;58;117;65;253;92;98;100;264
LYCEE CAMILLE SEE;2012;53;97;78;115;343;98;97;90;293
LYCEE ARTHUR RIMBAUD;2013;42;69;148;72;331;95;94;91;404
LYCEE GEORGES DUBY;2013;51;169;237;55;512;96;93;95;499
LYCEE SAINT REMY;2013;10;18;44;22;138;100;100;100;124
LYCEE SAINT ESPRIT;2013;13;50;93;21;201;100;100;97;223
LYCEE GAY LUSSAC;2013;31;63;92;98;356;94;89;88;317
LYCEE CHARLES DE GAULLE;2013;56;47;94;56;253;91;77;89;237
LYCEE JEANNE HACHETTE;2013;64;66;101;72;303;92;95;88;349
LYCEE JEAN ROSTAND;2013;58;87;116;62;323;86;82;87;309
LYCEE RIVE GAUCHE;2012;47;95;161;101;440;81;86;94;442
LYCEE RAYMOND NAVES (GENERAL ET TECHNO.);2012;64;101;198;130;493;83;84;87;444
LYCEE RENE BILLERES;2012;10;24;28;19;81;80;92;96;85
LYCEE DE BAGATELLE;2012;29;68;101;78;276;76;87;93;263
LYCEE GUY DE MAUPASSANT;2012;30;58;54;78;300;80;79;76;348
LYCEE NOTRE DAME DE LA COMPASSION;2012;23;38;83;22;188;100;100;99;246
LYCEE ST EXUPERY;2012;80;69;70;48;296;86;84;83;269
LYCEE CAMILLE PISSARRO;2012;28;61;97;80;358;100;87;90;313
LYCEE VINCENT VAN GOGH (GENERAL ET TECHNO.);2012;19;69;69;69;226;79;94;91;252
LYCEE PAUL-EMILE VICTOR (GENERAL ET TECHNO.);2012;30;22;54;46;152;90;73;74;130
LYCEE PAUL LAPIE;2012;49;102;117;68;336;84;82;91;356
LYCEE FRANCOIS VILLON;2012;25;54;97;62;238;56;85;80;222
LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.);2012;9;33;102;73;303;100;94;91;306
LYCEE ROSA PARKS;2012;102;133;229;135;660;82;92;79;691
LYCEE SACRE COEUR;2012;14;45;80;23;162;100;98;99;164
LYCEE CAMILLE CLAUDEL;2012;20;93;103;34;250;95;96;97;244
LYCEE BORDE BASSE;2012;31;84;163;61;413;81;89;90;418
LYCEE ROBERT DOISNEAU;2012;68;82;140;119;491;96;83;81;505
LYCEE DES METIERS CHAMPOLLION;2012;15;19;66;47;180;87;100;91;186
LYCEE PIERRE MARIE THEAS;2012;19;45;62;49;175;100;93;92;200
LYCEE SAINT CHARLES;2012;32;67;102;28;229;97;99;92;258
LYCEE JEANNE D'ARC;2012;13;17;30;14;74;100;94;100;48
LYCEE JEANNE D ARC;2012;9;51;65;14;139;100;98;98;220
LYCEE MARECHAL LANNES (GENERAL ET TECHNO.);2012;14;16;28;24;82;100;100;96;90
LYCEE HENRI MATISSE;2012;37;87;113;85;322;97;89;96;351
LYCEE GABRIEL FAURE;2012;50;49;88;74;261;78;80;86;283
LYCEE PLAINE DE NEAUPHLE;2012;6;17;26;47;135;83;94;50;103
LYCEE EVARISTE GALOIS;2012;47;105;146;137;435;91;93;95;473
LYCEE LOUIS PASTEUR;2013;17;36;42;55;225;100;100;100;282
LYCEE VAL DE DURANCE (GENERAL ET TECHNO.);2013;40;55;175;83;353;95;98;90;301
LYCEE ISMAEL DAUPHIN;2013;43;65;88;82;278;98;92;93;324
LYCEE BOUCHER DE PERTHES;2013;31;67;105;59;367;94;85;86;384
LYCEE JEAN RACINE;2013;26;39;66;41;191;85;64;80;185
LYCEE LAMARCK;2013;14;31;54;34;150;79;81;89;164
LYCEE ROBERT DE LUZARCHES;2013;69;70;121;58;318;97;93;93;299
LYCEE NOTRE DAME LA COMPASSION;2013;6;9;11;17;95;100;89;100;59
LYCEE ST JACQUES DE COMPOSTELLE;2013;9;15;26;18;90;100;100;96;127
LYCEE ST THOMAS D AQUIN;2013;23;32;69;22;146;96;100;100;159
LYCEE JULES SUPERVIELLE;2013;19;59;87;14;179;100;95;98;188
LYCEE VICTOR DURUY;2013;52;46;99;43;240;92;80;91;281
LYCEE ST CAPRAIS;2013;21;27;42;34;124;95;100;90;104
LYCEE LA CHARTREUSE PARADIS;2013;6;19;23;12;77;100;100;91;86
LYCEE RENE DESCARTES;2013;75;67;126;33;332;89;96;91;332
LYCEE FESCH;2013;25;46;49;32;197;96;96;100;167
LYCEE FREDERIC JOLIOT CURIE (GENERAL ET TECHNO.);2013;30;67;94;53;272;93;78;93;272
LYCEE JEHAN DE CHELLES (GENERAL ET TECHNO.);2013;20;34;34;46;178;80;91;82;175
LYCEE HENRI MOISSAN;2013;56;68;124;53;336;91;97;95;399
LYCEE RENE DESCARTES (GENERAL ET TECHNO.);2013;18;32;46;62;158;83;63;83;144
LYCEE THIBAUT DE CHAMPAGNE (GENERAL ET TECHNO.);2013;25;53;44;49;171;100;91;91;229
LYCEE SAINT ASPAIS (GENERAL ET TECHNO.);2013;29;74;115;71;289;100;100;100;353
LYCEE PAUL DOUMER (GENERAL ET TECHNO.);2013;15;34;54;56;179;93;79;93;206
LYCEE JOHANNES GUTENBERG (GENERAL ET TECHNO.);2013;10;26;57;44;220;90;92;72;182
LYCEE PRIEUR DE LA COTE D'OR (GENERAL ET TECHNO.);2013;28;52;87;41;208;89;85;80;200
LYCEE LOUISE MICHEL;2013;22;52;64;95;264;82;83;91;277
LYCEE JEAN RENOIR;2013;21;101;101;65;335;86;91;83;341
LYCEE CHARLES DE GAULLE;2013;25;48;68;43;184;80;83;75;166
LYCEE ANDRE BOULLOCHE;2013;37;83;148;71;339;97;95;89;350
LYCEE DE BORDA (GENERAL ET TECHNO.);2013;68;109;192;93;560;97;94;95;564
LYCEE ODILON REDON;2013;55;50;60;41;221;93;82;93;246
LYCEE FRANCOIS MAURIAC;2013;66;87;104;77;334;88;83;86;359
LYCEE ELIE FAURE;2013;46;112;77;70;305;87;79;84;325
LYCEE ROBERT DE MORTAIN (GENERAL ET TECHNO.);2013;10;35;50;13;138;100;89;88;121
LYCEE VICTOR GRIGNARD;2013;27;70;90;34;221;100;99;96;234
LYCEE THOMAS HELYE;2013;11;31;60;22;124;100;94;98;119
LYCEE MEZERAY (GENERAL ET TECHNO.);2013;20;49;55;33;157;100;84;93;163
LYCEE HENRI CORNAT;2013;34;51;122;58;265;91;98;92;243
LYCEE PRE DE CORDY;2013;26;39;77;36;212;92;87;92;248
LYCEE JAUFRE RUDEL;2013;30;67;86;76;282;90;85;92;262
LYCEE JEAN MICHEL;2013;50;123;116;65;354;90;93;94;324
LYCEE GRAND AIR;2013;53;94;114;124;385;98;94;96;376
LYCEE LE CASTEL (GENERAL ET TECHNO.);2013;45;28;55;69;273;82;93;87;284
LYCEE RAOUL FOLLEREAU;2013;23;50;46;61;234;83;86;83;212
LYCEE ANNA JUDIC (GENERAL ET TECHNO.);2013;31;31;45;34;141;87;87;80;142
LYCEE ROMAIN ROLLAND (GENERAL ET TECHNO.);2013;16;12;41;18;87;94;92;88;91
LYCEE JEAN DE PRADES;2013;14;31;26;52;123;100;94;100;190
LYCEE RENE CASSIN;2013;56;67;147;88;358;100;97;93;421
LYCEE SAINT CHARLES;2013;32;71;122;24;249;91;92;94;264
LYCEE JEAN PIERRE TIMBAUD (GENERAL ET TECHNO.);2013;22;47;43;89;252;86;94;86;221
LYCEE ROBERT DOISNEAU (GENERAL ET TECHNO.);2013;67;107;147;117;513;90;87;86;496
LYCEE CAMILLE CLAUDEL;2013;24;81;100;35;240;100;95;96;199
LYCEE DESCARTES;2013;27;90;142;56;315;96;92;95;343
LYCEE ALBERT CAMUS;2013;62;135;134;34;365;90;94;94;398
LYCEE NOTRE DAME;2013;27;132;109;19;287;100;100;100;364
LYCEE MONTALEMBERT;2013;18;73;84;101;276;100;100;99;348
LYCEE LAKANAL;2013;24;72;201;33;330;96;94;98;310
LYCEE ALEXANDRE DUMAS;2013;33;140;221;68;462;97;100;96;442
LYCEE PAUL LANGEVIN;2013;32;74;118;78;350;84;88;89;365
LYCEE SUGER;2013;10;28;22;34;94;100;93;91;95
LYCEE GALILEE;2013;27;68;117;84;362;85;90;91;339
LYCEE GEORGE SAND (GENERAL ET TECHNO.);2013;63;95;132;84;374;89;81;93;383
LYCEE GUSTAVE MONOD;2013;69;69;164;63;419;84;93;85;433
LYCEE MONTESQUIEU;2013;35;87;125;82;329;94;91;93;322
LYCEE CAMILLE PISSARRO (GENERAL ET TECHNO.);2013;28;57;90;69;332;93;91;83;325
LYCEE VAUBAN (GENERAL ET TECHNO.);2013;8;27;23;23;81;88;100;100;74
LYCEE JACQUES PREVERT;2013;34;68;101;103;306;88;82;90;275
LYCEE NOTRE DAME;2013;26;39;91;30;186;100;100;99;215
LYCEE LOUIS DE BROGLIE;2013;15;66;145;34;260;100;97;99;262
LYCEE DUMONT D'URVILLE (GENERAL ET TECHNO.);2013;21;33;33;51;138;95;97;97;139
LYCEE LE CORBUSIER;2013;45;62;78;60;245;87;95;97;265
LYCEE MANSART;2013;27;64;76;57;244;89;94;95;243
LYCEE PLAINE DE NEAUPHLE;2013;15;13;19;46;120;93;92;84;88
LYCEE GABRIEL FAURE;2013;84;104;132;100;477;93;92;95;455
LYCEE SAINT JOSEPH;2013;12;28;19;62;121;92;100;100;60
LYCEE EMMANUEL  MOUNIER;2013;34;49;65;40;188;91;84;77;146
LYCEE HECTOR BERLIOZ (GENERAL ET TECHNO.);2013;26;53;63;45;187;88;94;95;197
LYCEE UNIT? SOINS ETUDES GR?SIVAUDAN (GENERAL ET TECHNO.);2013;15;2;15;3;35;60;100;53;20
LYCEE MARIE REYNOARD;2013;15;57;126;56;254;80;96;96;282
LYCEE PORTES DE L'OISANS;2013;26;59;83;38;251;100;92;96;281
LYCEE SAINT AMBROISE;2013;17;53;73;43;249;100;100;100;263
LYCEE BAIMBRIDGE;2013;47;55;147;131;380;98;95;96;388
LYCEE FAUSTIN FLERET;2013;43;42;68;132;285;91;86;94;322
LYCEE DES DROITS DE L'HOMME;2013;64;98;100;94;423;91;81;91;407
LYCEE SONNY RUPAIRE;2013;20;34;67;66;187;100;91;97;227
LYCEE LEOPOLD ELFORT (GENERAL ET TECHNO.);2013;10;10;14;34;68;90;90;93;69
LYCEE LA POSSESSION (GENERAL ET TECHNO.);2013;32;49;88;102;271;91;92;90;238
LYCEE DE VINCENDO (GENERAL ET TECHNO.);2013;21;32;62;55;202;90;81;94;165
LYCEE ANTOINE ROUSSIN;2013;32;35;52;103;222;100;94;79;257
LYCEE SAINT LUC;2013;10;43;63;26;192;100;95;98;206
LYCEE DU PAYS DE CONDE (GENERAL ET TECHNO.);2013;30;41;54;44;188;83;68;80;166
LYCEE EUGENE THOMAS (GENERAL ET TECHNO.);2013;12;9;51;19;137;75;100;94;136
LYCEE LOUIS PASTEUR;2013;28;49;80;47;204;79;84;86;234
LYCEE ERNEST COUTEAUX (GENERAL ET TECHNO.);2013;23;38;51;41;153;65;95;82;170
LYCEE EMILE ZOLA (GENERAL ET TECHNO.);2013;23;23;39;30;115;91;65;74;116
LYCEE CONDORCET;2013;30;60;81;34;205;80;90;89;212
LYCEE PAUL ELUARD;2013;28;34;53;22;137;93;94;89;148
LYCEE DU BUGEY;2013;24;61;61;36;182;96;92;97;177
LYCEE EDGAR QUINET;2013;68;88;107;57;389;96;97;93;441
LYCEE PAUL PAINLEVE (GENERAL ET TECHNO.);2013;25;37;31;50;174;84;97;90;141
LYCEE DU VAL DE SAONE;2013;26;89;136;66;367;92;98;99;343
LYCEE FRANCOIS MAURIAC-FOREZ;2013;25;77;144;83;376;100;99;98;409
LYCEE BLAISE PASCAL;2013;29;103;124;81;366;86;97;95;442
